Sporadic-A2;24257;0.50;0.11;8.19;0.27;-49;-195;26;329;-237;93;99119.24;9.15;0;0;0;0
Sporadic-A2;25281;0.66;0.07;8.29;0.46;-13;-487;87;323;-235;95;99117.39;9.19;0;0;0;0
Sporadic-A2;26305;1.40;0.24;8.13;0.91;-127;128;-8;384;-196;208;99108.67;9.21;0;0;0;0
Sporadic-A2;27329;2.29;0.01;8.18;0.40;-31;-73;85;397;-195;213;99098.17;9.25;0;0;0;0
Sporadic-A2;28354;1.85;0.01;8.09;0.54;82;160;81;413;-193;213;99103.32;9.29;0;0;0;0
Sporadic-A2;29378;1.71;0.03;8.09;0.33;39;197;83;434;-188;200;99105.06;9.30;0;0;0;0
Sporadic-A2;30404;1.18;0.15;8.20;0.45;-19;-6;93;432;-198;198;99106.79;9.33;0;0;0;0
Sporadic-A2;31428;1.37;0.03;8.15;0.40;-4;-54;93;428;-188;198;99109.05;9.36;0;0;0;0
Sporadic-A2;32452;1.33;0.01;8.17;0.26;-22;-24;79;423;-191;199;99109.44;9.38;0;0;0;0
Sporadic-A2;33476;1.06;0.22;8.18;0.33;-24;-16;95;428;-192;194;99112.69;9.40;0;0;0;0
Sporadic-A2;34500;1.56;0.05;8.20;0.31;-17;-37;86;428;-184;202;99106.72;9.41;0;0;0;0
Sporadic-A2;35524;1.27;0.08;8.19;0.32;-20;-24;87;426;-190;194;99110.24;9.42;0;0;0;0
Sporadic-A2;36551;1.69;0.11;8.19;0.23;-20;3;97;424;-194;198;99105.24;9.44;0;0;0;0
Sporadic-A2;37575;1.71;0.11;8.18;0.40;-18;-14;99;426;-196;200;99105.00;9.46;0;0;0;0
Sporadic-A2;38599;1.74;0.08;8.16;0.49;-21;-6;85;424;-188;194;99104.69;9.48;0;0;0;0
Sporadic-A2;39623;1.87;0.01;8.13;0.16;-27;-39;92;433;-193;197;99103.17;9.49;0;0;0;0
Sporadic-A2;40647;1.71;0.01;8.19;0.42;-24;-16;90;424;-196;202;99104.96;9.49;0;0;0;0
Sporadic-A2;41671;2.30;0.11;8.27;0.32;-20;-2;79;428;-200;200;99098.02;9.49;0;0;0;0
Sporadic-A2;42697;2.20;0.04;8.15;0.43;-12;-31;83;423;-189;197;99099.28;9.49;0;0;0;0
Sporadic-A2;43721;2.65;0.01;8.20;0.35;-4;0;97;431;-195;197;99093.94;9.49;0;0;0;0
Sporadic-A2;44745;0.96;0.13;8.22;0.20;-26;-9;71;423;-189;201;99113.87;9.49;0;0;0;0
Sporadic-A2;45769;2.62;0.35;8.26;0.49;-60;-36;91;424;-194;200;99096.66;9.51;0;0;0;0
Sporadic-A2;46793;1.67;0.24;8.27;0.42;-29;-19;91;419;-193;205;99105.52;9.51;0;0;0;0
Sporadic-A2;47817;1.80;0.08;8.18;0.36;-10;-14;87;425;-195;201;99103.99;9.53;0;0;0;0
Sporadic-A2;48841;1.16;0.04;8.20;0.58;-17;2;77;427;-201;197;99111.50;9.54;0;0;0;0
Sporadic-A2;49867;1.11;0.06;8.21;0.26;-15;517;174;441;-197;193;99112.10;9.56;0;0;0;0
Sporadic-A2;50891;1.13;0.19;7.52;0.12;-190;-528;25;432;-186;180;99111.82;9.57;0;0;0;0
Sporadic-A2;51915;0.16;0.08;6.09;0.56;-284;4367;534;480;-180;124;99123.35;9.60;0;0;0;0
Sporadic-A2;52939;0.47;0.20;8.22;0.30;-112;37;51;499;-193;67;99119.66;9.62;0;0;0;0
Sporadic-A2;53963;0.72;0.06;8.17;0.02;-33;-25;77;498;-186;76;99116.66;9.64;0;0;0;0
Sporadic-A2;54987;0.48;0.22;8.20;0.19;-19;-28;90;507;-181;77;99119.57;9.66;0;0;0;0
Sporadic-A2;56014;0.66;0.01;8.20;0.13;-18;-26;87;496;-190;72;99117.36;9.68;0;0;0;0
Sporadic-A2;57038;0.64;0.24;8.24;0.53;-14;-168;78;484;-178;94;99117.67;9.71;0;0;0;0
